,Unnamed: 0,OfferId,OfferName,OfferType,OfferCategory,OfferContent,OfferChannel,Points,ExclusionCategory,BenefitType,PointType,ProgramCode,ProgramName,ProgramTier,ProgramPointType,ProductCategory,ProductCode,ProductName,Season,Month,WeekDay,Holiday,WeekEnd,BirthDay,WeddingAnniversary ,Duration,StartDate,EndDate,Unnamed: 27,PartnerCategory,PartnerCode,PartnerName,PartnerType,TargetedAge,Targetted Nationality,Targetted Preference Group,TargetedGender,Targetted Type,TargetedTier,Targetted Channel,TargetedMaritalStatus,DiscountPercentage
70,70,O0071,Starbucks 33,Redemption,Redeem,Gain/Acrue 3300 points and redeem your Starbucks Reward,"Loyalty  Portal, Mobile App",300.0,,Cash,,FFP,Frequent Flyer Program,Gold,,nan,P058,Starbucks offers,,,nan,,,Birthday Offers,,nan,2019-01-01,2019-03-31,,Non Air,SB,Starbucks,,All,US,Individuals,All,nan,Gold,"Loyalty  Portal, Mobile App",All,0
71,71,O0072,Earn 2x with Chase Sapphire Preferred,,Points,Earn 2x Points on All Travel and Dining Purchases [$300],Social Media,100.0,,Points,,FFP,Frequent Flyer Program,Bronze,,nan,P005,Airbnb,Winter 20,Jan,nan,,Weekend Offers,,,nan,2019-01-01,2019-03-31,,Non Air,AB2,Airbnb,Booking ,All,US,Individuals,All,nan,Bronze,Social Media,All,0
72,72,O0073,Earn 3x with Chase Sapphire Preferred,,Points,Earn 3x Points on All Travel and Dining Purchases [$300],Social Media,100.0,,Points,,FFP,Frequent Flyer Program,Bronze,,nan,P066,Uber,Winter 21,Feb,nan,,Weekend Offers,,,nan,2019-01-01,2019-03-31,,,UU,Uber,Cab,All,US,Individuals,All,nan,Bronze,Social Media,All,0
73,73,O0074,Earn 2x with Chase Platinum  Preferred,,Points,Earn 2x Points on All Travel and Dining Purchases [$300],Social Media,100.0,,Points,,FFP,Frequent Flyer Program,Bronze,,nan,P012,Barista Coffee,Winter 22,Jan,nan,,Weekend Offers,,,nan,2019-01-01,2019-03-31,,,BCLA,Barista Coffee,Eat,All,US,Individuals,All,nan,Bronze,Social Media,All,0
74,74,O0075,Earn 3x with Chase Platinum Preferred,,Points,Earn 3x Points on All Travel and Dining Purchases [$300],Social Media,100.0,,Points,,FFP,Frequent Flyer Program,Bronze,,nan,P028,Expedia,Winter 23,Feb,nan,,Weekend Offers,,,nan,2019-01-01,2019-03-31,,Non Air,EXP,Expedia,Booking ,All,US,Individuals,All,nan,Bronze,Social Media,All,0
75,75,O0076,JULY 4k 15,Accruals ,Discounts,Upto 15% off on Flight Fees,"Loyalty  Portal, Mobile App",100.0,,Discounts,,FFP,Frequent Flyer Program,Bronze,,nan,P006,Airline Fare Discounts,Holiday,July,1.0,Independence Day,,,,nan,2019-01-01,2019-03-31,,Air,LF,Luftanza,Air,All,US,Individuals,All,nan,Bronze,"Loyalty  Portal, Mobile App",All,15
76,76,O0077,Buy & Earn 2k Miles with ABC,,Points,"Buy miles now, together sooner. Earn up to 120,000 bonus miles when you buy or gift ABC miles","Loyalty  Portal, Mobile App",100.0,,Points,,FFP,Frequent Flyer Program,Bronze,,nan,P001,ABC miles,Holiday,,nan,Vacation,,,,nan,2019-01-01,2019-03-31,,Air,AA,ABC Card,Credit Card,All,US,Individuals,All,nan,Bronze,"Loyalty  Portal, Mobile App",,0
77,77,O0078,Earn 2x miles with Manhattan,,Points,Earn more miles on your purchase when you use your eligible Manhattan  credit card.,"Loyalty  Portal, Mobile App",50.0,,Points,,FFP,Frequent Flyer Program,Bronze,,nan,P038,Manhattan,Holiday,,nan,Vacation,,,,nan,2019-01-01,2019-03-31,,Air,AA,ABC Card,Credit Card,All,US,Individuals,All,nan,Bronze,"Loyalty  Portal, Mobile App",,0
78,78,O0079,Earn 50k Bonus miles with ABC,,Points,"Earn 25,000 bonus miles on a future vacation to Jamaica.","Loyalty  Portal, Mobile App",300.0,,Points,,FFP,Frequent Flyer Program,Gold,,nan,P013,Bonus miles,Holiday,,nan,Vacation,,,,nan,2019-01-01,2019-03-31,,Air,AA,ABC Card,Credit Card,All,US,Individuals,All,nan,Gold,"Loyalty  Portal, Mobile App",,0
79,79,O0080,Earn 300K Bonus miles with ABC,,Points,"Earn 30,000 bonus miles when you book a vacation to Costa Rica.","Loyalty  Portal, Mobile App",300.0,,Points,,FFP,Frequent Flyer Program,Gold,,nan,P013,Bonus miles,Holiday,,nan,Vacation,,,,nan,2019-01-01,2019-03-31,,Air,AA,ABC Card,Credit Card,All,US,Individuals,All,nan,Gold,"Loyalty  Portal, Mobile App",,0
80,80,O0081,Earn 5000 Bonus Miles,,Points,Earn 500 bonus miles when you book a vacation to Paris  with ABC Card,"Loyalty  Portal, Mobile App",5000.0,,points,,FFP,Frequent Flyer Program,Platinum,,nan,P013,Bonus miles,,,nan,,,,,nan,2019-01-01,2019-03-31,,Air,AA,ABC Card,Credit Card,All,US,Individuals,All,nan,Platinum,"Loyalty  Portal, Mobile App",,0
81,81,O0082,Celebrate Fall Sale 20,Accruals ,Discounts,Save 20%/night to all destinations,Social Media,50.0,,Discounts,,FFP,Frequent Flyer Program,Bronze,,nan,P007,American,Holiday,,nan,Fall Holidays,,,,nan,2019-09-15,2019-12-31,,Air,AM,Americal Airways,Air,All,US,Individuals,All,nan,Bronze,Social Media,,20
82,82,O0083,Celebrate Fall Sale 30,Accruals ,Discounts,Save 30%/night to all destinations,Social Media,300.0,,Discounts,,FFP,Frequent Flyer Program,Gold,,nan,P007,American,Holiday,,nan,Fall Holidays,,,,nan,2019-09-15,2019-12-31,,Air,AM,Americal Airways,Air,All,US,Individuals,All,nan,Gold,Social Media,,30
83,83,O0084,Celebrate Fall Sale 40,Accruals ,Discounts,Save 40%/night to all destinations,Social Media,1000.0,,Discounts,,FFP,Frequent Flyer Program,Platinum,,nan,P007,American,Holiday,,nan,Fall Holidays,,,,nan,2019-09-15,2019-12-31,,Air,AM,Americal Airways,Air,All,US,Individuals,All,nan,Platinum,Social Media,,40
84,84,O0085,35% off with Budget,Accruals ,Discounts,35% Off with Budget,"Loyalty  Portal, Mobile App",50.0,,Discounts,,FFP,Frequent Flyer Program,Bronze,,nan,P017,Budget,Holiday,,nan,Fall Holidays,,,,nan,2019-09-15,2019-12-31,,Non Air,BJT,Budget,Cab,All,US,All,All,nan,Bronze,"Loyalty  Portal, Mobile App",All,35
85,85,O0086,Earn10k miles every stay,,Points,"Book hotels and earn up to 10,000 miles per night on select properties.",Social Media,50.0,,Points,,FFP,Frequent Flyer Program,Bronze,,nan,P040,Marriot,,,nan,,,,,nan,2019-09-15,2019-12-31,,,MM,Marriot,Hotel,All,US,Individuals,All,nan,Bronze,Social Media,Married,0
86,86,O0087,10%- Food & Bev,Accruals ,Discounts,Get 10% off on F&B,"Loyalty  Portal, Mobile App",50.0,,Discounts,,,Frequent Flyer Program,Bronze,,nan,P009,Ancillary-Food & Bev ,,,nan,,,Birthday,Anniversary,nan,2019-09-15,2019-12-31,,Air,AA,American Airways,Air,All,US,Individuals,All,nan,Bronze,"Loyalty  Portal, Mobile App",Married,10
87,87,O0088,10%  Food & Bev- Wine,Accruals ,Discounts,Get 10% off on F&B-Wine,"Loyalty  Portal, Mobile App",50.0,not for <18 years of age,Discounts,,,Frequent Flyer Program,Bronze,,nan,P070,wine,,,nan,,,Birthday,Anniversary,nan,2019-01-01,2019-03-31,,Air,AA,American Airways,Air,All,US,Individuals,All,nan,Bronze,"Loyalty  Portal, Mobile App",Married,10
88,88,O0089,10%  Baggage and excess baggage,Accruals ,Discounts,15$ discount on excess baggage,"Loyalty  Portal, Mobile App",50.0,,Discounts,,,Frequent Flyer Program,Bronze,,nan,P011,Baggage,,,nan,,,Birthday,Anniversary,nan,2019-01-01,2019-03-31,,Air,AA,American Airways,Air,All,US,Individuals,All,nan,Bronze,"Loyalty  Portal, Mobile App",Married,10
89,89,O0090,10%  Seats,Accruals ,Discounts,10% discount on Xleg Seats,"Loyalty  Portal, Mobile App",50.0,,Discounts,,,Frequent Flyer Program,Bronze,,nan,P056,Seats,,,nan,,,Birthday,Anniversary,nan,2019-01-01,2019-03-31,,Air,AA,American Airways,Air,All,US,Individuals,All,nan,Bronze,"Loyalty  Portal, Mobile App",Married,10
90,90,O0091,Early Bird 20,Accruals ,Discounts, à la carte - 20% discount on early boarding for F&B,"Loyalty  Portal, Mobile App",50.0,,Discounts,,,Frequent Flyer Program,Bronze,,nan,P026,Early Boarding,,,nan,,,Birthday,Anniversary,nan,2019-01-01,2019-03-31,,Air,AA,American Airways,Air,All,US,Individuals,All,nan,Bronze,"Loyalty  Portal, Mobile App",Married,20
91,91,O0092,Marriot 20,Accruals ,Discounts,20% discount at Marriot,"Loyalty  Portal, Mobile App",50.0,,Discounts,,,Frequent Flyer Program,Bronze,,nan,P040,Marriot,,,nan,,,Birthday,Anniversary,nan,2019-01-01,2019-03-31,,Non Air,MM,Marriot,Hotel,All,US,Individuals,All,nan,Bronze,"Loyalty  Portal, Mobile App",Married,20
92,92,O0093,Uber 20,Accruals ,Discounts,20% discuount with Uber Cabs,"Loyalty  Portal, Mobile App",50.0,,Discounts,,,Frequent Flyer Program,Bronze,,nan,P066,Uber,,,nan,,,Birthday,Anniversary,nan,2019-01-01,2019-03-31,,Non Air,UU,Uber,Cab,All,US,Individuals,All,nan,Bronze,"Loyalty  Portal, Mobile App",Married,20
93,93,O0094,TI 20,Accruals ,Discounts,20% discount on Travel Insurance with TT insurance,"Loyalty  Portal, Mobile App",50.0,,Discounts,,,Frequent Flyer Program,Bronze,,nan,P065,TT Insurance,,,nan,,,Birthday,Anniversary,nan,2019-01-01,2019-03-31,,Non Air,TI,TT Insurance,Insurance,All,US,Individuals,All,nan,Bronze,"Loyalty  Portal, Mobile App",Married,20
94,94,O0095,Go Kido,,Offers,Loyalty Offer exclusively for Kids Under 12,"Loyalty  Portal, Mobile App",50.0,not for 12 years and above,Offers,Kids Offers,KC,Kids Club,Bronze,,nan,P048,Oryx Cards Kids Club,All,,nan,,,,,nan,2019-07-01,2019-10-31,,Non Air,ORX,Oryx,Credit Card,< 12,US,Kids,All,nan,Bronze,"Loyalty  Portal, Mobile App",Single,0
95,95,O0096,Teddy Bear Feast,,Offers,Loyalty Offerfor Kids under 12 years,"Loyalty  Portal, Mobile App",50.0,not for 12 years and above,Offers,Kids Offers,KC,Kids Club,Bronze,,nan,P048,Oryx Cards Kids Club,All,,nan,,,,,nan,2019-07-01,2019-10-31,,Non Air,ORX,Oryx,Credit Card,< 12,US,Kids,All,nan,Bronze,"Loyalty  Portal, Mobile App",Single,0
96,96,O0097,Kids Lounge,,Offers,Lounge Offer for Kids,"Loyalty  Portal, Mobile App",300.0,not for 12 years and above,Offers,Kids Offers,KC,Kids Club,Gold,,nan,P048,Oryx Cards Kids Club,All,,nan,,,Birthday,,nan,2019-12-01,2020-01-31,,Non Air,ORX,Oryx,Credit Card,< 12,US,Kids,All,nan,Gold,"Loyalty  Portal, Mobile App",Single,0
97,97,O0098,Kids Snack Boxes,,Offers,All-new meal boxes filled with fun and nutritious food while in flight,"Loyalty  Portal, Mobile App",300.0,not for 12 years and above,Offers,Kids Offers,KC,Kids Club,Gold,,nan,P048,Oryx Cards Kids Club,All,,nan,,,Birthday,,nan,2019-10-01,2019-12-31,,Non Air,ORX,Oryx,Credit Card,< 12,US,Kids,All,nan,Gold,"Loyalty  Portal, Mobile App",Single,0
98,98,O0099,Wherever Family,Accruals ,Discounts,15% off at THEWORKS,"Loyalty  Portal, Mobile App",300.0,not for below 18 years,Discounts,Kids Offers,KC,Kids Club,Gold,,nan,P048,Oryx Cards Kids Club,All,,nan,,,Birthday,,nan,2019-10-01,2019-12-31,,Non Air,ORX,Oryx,Credit Card,12 -20,US,Kids,All,nan,Gold,"Loyalty  Portal, Mobile App",Single,15
99,99,O0100,DISNEY MOVIE REWARDS:,Accruals ,Discounts,15% discount for signing up for sign up for the Disney movie loyalty cards,"Loyalty  Portal, Mobile App",300.0,Under 18,Discounts,Kids Offers,KC,Kids Club,Gold,,nan,P048,Oryx Cards Kids Club,All,,nan,,,Birthday,,nan,2019-10-01,2019-12-31,,Non Air,ORX,Oryx,Credit Card,12 -20,US,Kids,All,nan,Gold,"Loyalty  Portal, Mobile App",Single,15
100,100,O0101,GAME REWARD:,Accruals ,Discounts,10% Off for every game that you buy,"Loyalty  Portal, Mobile App",300.0,not for below 12 years ,Discounts,Kids Offers,KC,Kids Club,Gold,,nan,P048,Oryx Cards Kids Club,All,,nan,,,Birthday,,nan,2019-10-01,2019-12-31,,Non Air,ORX,Oryx,Credit Card,12 -20,US,Kids,All,nan,Gold,"Loyalty  Portal, Mobile App",Single,10
101,101,O0102,HARRODS REWARDS:,Accruals ,Discounts,20% Discount for newborn baby essentials – everything from clothing to gift sets at Harrods,"Loyalty  Portal, Mobile App",300.0,not for above 5 years,Discounts,Kids Offers,KC,Kids Club,Gold,,nan,P048,Oryx Cards Kids Club,All,,nan,,,Birthday,,nan,2019-10-01,2019-12-31,,Non Air,ORX,Oryx,Credit Card,< 5,US,Kids,All,nan,Gold,"Loyalty  Portal, Mobile App",Single,20
102,102,O0103,SeniorFirst Winter 20,Accruals ,Discounts,Guests' age 65 and older are eligible for  20% discount for select Hotel rooms.,"Loyalty  Portal, Mobile App",300.0,Not for below 55 years,Discounts,Senior Citizens Offers,SCO,Frequent Flyer Program,Gold,,nan,P057,Senior Citizens Discounts,Winter,,nan,,,Birthday,,nan,2019-12-01,2020-01-31,,Non Air,MM,Marriot,Hotel,Above 65,US,Senior Citizens,All,nan,Gold,"Loyalty  Portal, Mobile App",Married,20
103,103,O0104,SeniorLadies Winter30,Accruals ,Discounts,Guests' age 65 and older are eligible for  30% discount for select Hotel rooms.,"Loyalty  Portal, Mobile App",300.0,Not for below 55 years,Discounts,Senior Citizens Offers,SCO,Frequent Flyer Program,Gold,,nan,P057,Senior Citizens Discounts,Winter,,nan,,,Birthday,,nan,2019-12-01,2020-01-31,,Non Air,MM,Marriot,Hotel,Above 65,US,Senior Citizens,F,nan,Gold,"Loyalty  Portal, Mobile App",All,30
104,104,O0105,SeniorGoRelax Winter30,Accruals ,Discounts,Guests' age 65 and older are eligible for  30% discount for select Hotel rooms and Cabs,"Loyalty  Portal, Mobile App",300.0,Not for below 55 years,Discounts,Senior Citizens Offers,SCO,Frequent Flyer Program,Gold,,nan,P057,Senior Citizens Discounts,Winter,,nan,,,Birthday,,nan,2019-12-01,2020-01-31,,Non Air,MM,Marriot,Hotel,Above 65,US,Senior Citizens,All,nan,Gold,"Loyalty  Portal, Mobile App",Married,30
105,105,O0106,Go Kido,,Offers,Loyalty Offer exclusively for Kids Under 12,Web,50.0,not for 12 years and above,Offers,Kids Offers,KC,Kids Club,Bronze,,nan,P048,Oryx Cards Kids Club,All,,nan,,,,,nan,2019-01-01,2019-03-31,,Non Air,ORX,Oryx,Credit Card,< 12,US,Kids,All,nan,Bronze,Web,Single,0
106,106,O0107,Teddy Bear Feast,,Offers,Loyalty Offerfor Kids under 12 years,Web,50.0,not for 12 years and above,Offers,Kids Offers,KC,Kids Club,Bronze,,nan,P048,Oryx Cards Kids Club,All,,nan,,,,,nan,2019-01-01,2019-03-31,,Non Air,ORX,Oryx,Credit Card,< 12,US,Kids,All,nan,Bronze,Web,Single,0
107,107,O0108,Kids Lounge,,Offers,Lounge Offer for Kids,Web,300.0,not for 12 years and above,Offers,Kids Offers,KC,Kids Club,Gold,,nan,P048,Oryx Cards Kids Club,All,,nan,,,Birthday,,nan,2019-01-01,2019-03-31,,Non Air,ORX,Oryx,Credit Card,< 12,US,Kids,All,nan,Gold,Web,Single,0
108,108,O0109,Kids Snack Boxes,,Offers,All-new meal boxes filled with fun and nutritious food while in flight,web,300.0,not for 12 years and above,Offers,Kids Offers,KC,Kids Club,Gold,,nan,P048,Oryx Cards Kids Club,All,,nan,,,Birthday,,nan,2019-03-01,2019-07-31,,Non Air,ORX,Oryx,Credit Card,< 12,US,Kids,All,nan,Gold,web,Single,0
109,109,O0110,HARRODS REWARDS:,Accruals ,Discounts,20% Discount for newborn baby essentials – everything from clothing to gift sets at Harrods,web,300.0,not for above 5 years,Discounts,Kids Offers,KC,Kids Club,Gold,,nan,P048,Oryx Cards Kids Club,All,,nan,,,Birthday,,nan,2019-03-01,2019-07-31,,Non Air,ORX,Oryx,Credit Card,< 5,US,Kids,All,nan,Gold,web,Single,20
110,110,O0111,HAMLEYS REWARDS:,Accruals ,Discounts,20% Discount for newborn baby essentials – everything from clothing to gift sets at Hamleys,web,300.0,not for above 5 years,Discounts,Kids Offers,KC,Kids Club,Gold,,nan,P048,Oryx Cards Kids Club,All,,nan,,,Birthday,,nan,2019-03-01,2019-07-31,,Non Air,ORX,Oryx,Credit Card,< 5,US,Kids,All,nan,Gold,web,Single,20
111,111,O0112,Kidos  ,Accruals ,Discounts,20% Discount for newborn baby essentials ,web,300.0,not for above 5 years,Discounts,Kids Offers,KC,Kids Club,Gold,,nan,P048,Oryx Cards Kids Club,All,,nan,,,Birthday,,nan,2019-03-01,2019-07-31,,Non Air,ORX,Oryx,Credit Card,< 5,US,Kids,All,nan,Gold,web,Single,20
112,112,O0113,NidoKidos,Accruals ,Discounts,20% Discount for newborn baby essentials – everything from clothing to gift sets at Nidokidos Stores,web,300.0,not for above 5 years,Discounts,Kids Offers,KC,Kids Club,Gold,,nan,P048,Oryx Cards Kids Club,All,,nan,,,Birthday,,nan,2019-03-01,2019-07-31,,Non Air,ORX,Oryx,Credit Card,< 5,US,Kids,All,nan,Gold,web,Single,20
113,113,O0114,Shop for $100 and get free shipping!!,,Promotions,Shop for $100 from Target Portal and get free shipping,Web,100.0,,Promotions,,,,,,nan,P061,Target Offers,,,nan,,,,,nan,2019-09-01,2019-12-31,,,,,,,,,,nan,,,,0
114,114,O0115,Early Access Offer,Accruals ,Promotions,New Product that’s not officially Launched,"Loyalty  Portal, Email, Mobile App",50.0,,Points,Loyalty Bonus Status Credits,EAP,Early Access Program,Bronze,TLBS,nan,P045,New Launches,Summer 2019,April ,nan,,,,,nan,2020-06-01,2020-08-31,,Air,QF,Qantas Airways,,40-65,Europe,Corporates,All,nan,Bronze,Loyalty  Portal,Both,0
115,115,O0116,"40,00 Bonus Points  with AMEx Saphire Card",Accruals ,Promotions,"40,00 Bonus Points [Highest EVER Bonus]  with AMEx Saphire Card","Web,Email",4000.0,,Points,Promotional Status Credits,PSC,Points Related Promotions,Saphire,,nan,P019,Credit Card Offer,Summer 2020,May,nan,,,,,nan,2020-06-01,2020-08-31,,Non Air,AMEX,American Express,Credit Card,30 - 40,US,Individuals,All,nan,Saphire,Web,Both,0
116,116,O0117," 60,00 Rewards points  with AMEx Platinum Card",Accruals ,Promotions,"Earn 60,000 Membership Rewards points  with AMEx Platinum Card","Web,Email",6000.0,,Points,Promotional Status Credits,PSC,Points Related Promotions,Platinum,,nan,P019,Credit Card Offer,Summer 2020,May,nan,,,,,nan,2020-06-01,2020-08-31,,Non Air,AMEX,American Express,Credit Card,All,US,Individuals,All,nan,Platinum,Web,All,0
117,117,O0118,"35,00  Rewards points with AMEx Gold Card",Accruals ,Promotions,"Earn 35,00 Membership Rewards points with AMEx Gold Card","Web,Email",3500.0,,Points,Promotional Status Credits,PSC,Points Related Promotions,Platinum,,nan,P019,Credit Card Offer,Summer 2020,May,nan,,,,,nan,2020-06-01,2020-08-31,,Non Air,AMEX,American Express,Credit Card,All,US,Individuals,All,nan,Gold,Web,All,0
118,118,O0119,Member Only - Early Birds 100,Redemption,Promotions,Redeem new products listed exclusively for members- First 100,"Mobile App, SMS",100.0,,Points,Promotional Status Credits,PSC,Points Related Promotions,Gold,,nan,P043,Member Only Offers,Fall 2019,Dec,nan,New Year,,,,nan,2020-06-01,2020-08-31,,Air,Luftansa,Luftansa,Airlines,All,US,Corporates,All,nan,Gold,"Mobile App, SMS",All,0
119,119,O0120,Member Only - Spring 10,Redemption,Promotions,Redeem new products listed exclusively for members - Sprint Sale 2020,"Mobile App, SMS",200.0,,Points,Promotional Status Credits,PSC,Points Related Promotions,Gold,,nan,P043,Member Only Offers,Fall 2019,Dec,nan,,,,,nan,2020-06-01,2020-08-31,,Air,Luftansa,Luftansa,Airlines,40-65,US,Individuals,All,nan,Gold,"Mobile App, SMS",All,0
120,120,O0121,Member Only - Thanks Giving 20,Redemption,Promotions,Redeem new products listed exclusively for members - Thanks Giving sale 2020,"Mobile App, SMS",200.0,,Points,,FFP,Frequent Flyer Program,Gold,,nan,P043,Member Only Offers,,,nan,,,,,nan,2020-06-01,2020-08-31,,Air,,,,All,US,,,nan,Gold,"Mobile App, SMS",All,0
121,121,O0122,Member Only - Independence Day,Redemption,Promotions,Redeem new products listed exclusively for members - Independence day sale,"Mobile App, SMS",300.0,,Points,,FFP,Frequent Flyer Program,Gold,,nan,P043,Member Only Offers,,,nan,,,,,nan,2020-06-01,2020-08-31,,Air,,,,All,,,,nan,Gold,"Mobile App, SMS",All,0
122,122,O0123,Member Only - Fun 50,Redemption,Promotions,Redeem new products listed exclusively for members,"Mobile App, SMS",300.0,,Points,,FFP,Frequent Flyer Program,Gold,,nan,P043,Member Only Offers,,,nan,,,,,nan,2020-06-01,2020-08-31,,Air,,,,All,,,,nan,Gold,"Mobile App, SMS",All,0
123,123,O0124,Join US for 50,Accruals ,Coupons,Create an account gain 50 points,Web,100.0,,Cash,New Subscribers Offers,FFP,Frequent Flyer Program,Bronze,,nan,P054,Refer a friend,,,nan,,,,,nan,2020-06-01,2020-08-31,,Non Air,WLFF,WeLoveFunFit,E-commerce,20-30,US,New Subscribers  - Individuals,All,nan,Bronze,Web,All,0
124,124,O0125,5 points per $1 ,Accruals ,Coupons,Make a purchase 5 points per $1 . Earn point for every Dollar you spend for a minium of $50 purchase,Web,50.0,,Cash,New Subscribers Offers,FFP,Frequent Flyer Program,Bronze,,nan,P052,Redeem offers,,,nan,,,,,nan,2020-07-01,2020-10-31,,Non Air,WLFF,WeLoveFunFit,E-commerce,20-30,US,New Subscribers  - Individuals,All,nan,Bronze,Web,All,0
125,125,O0126,Get 10% off on next Max purchase. Expiry : 31/01/2020,,Coupons,Sign up for loyalty and and get 10% off on next MAX store purchase. Expiry : 31/01/2021,Web,50.0,,Cash,New Subscribers Offers,FFP,Frequent Flyer Program,Bronze,,nan,P042,MAX,,,nan,,,,,nan,2020-07-01,2020-12-31,,Non Air,WLFF,WeLoveFunFit,E-commerce,20-30,US,New Subscribers  - Individuals,All,nan,Bronze,Web,All,0
126,126,O0127,Friend-200,Accruals ,Coupons,Refer a friend earn 200 points,Web,50.0,,Cash,New Subscribers Offers,FFP,Frequent Flyer Program,Bronze,,nan,P036,Loyalty Offers,,,nan,,,,,nan,2020-07-01,2020-12-31,,Non Air,WLFF,WeLoveFunFit,E-commerce,20-30,US,New Subscribers  - Individuals,All,nan,Bronze,Web,All,0
127,127,O0128,$10 off 200 points,Redemption,Discounts,Redeem 200 points and avail $10 discount in selected stores,Web,100.0,,Discounts,New Subscribers Offers,FFP,Frequent Flyer Program,Bronze,,nan,P052,Redeem offers,,,nan,,,,,nan,2020-04-01,2020-07-31,,Non Air,WLFF,WeLoveFunFit,E-commerce,20-30,US,New Subscribers  - Individuals,All,nan,Bronze,Web,All,10
128,128,O0129,15% Off 200 Points,Redemption,Discounts,Redeem 200 points and avail $15 discount in selected stores,Web,100.0,,Discounts,New Subscribers Offers,FFP,Frequent Flyer Program,Bronze,,nan,P052,Redeem offers,,,nan,,,,,nan,2020-04-01,2020-07-31,,Non Air,WLFF,WeLoveFunFit,E-commerce,20-30,US,New Subscribers  - Individuals,All,nan,Bronze,Web,All,15
129,129,O0130,30$ off 280 points,Redemption,Discounts,Redeem 280 points and avail $30 discount in selected stores,Web,100.0,,Discounts,,FFP,Frequent Flyer Program,Gold,,nan,P052,Redeem offers,,,nan,,,,,nan,2020-07-01,2020-08-31,,Non Air,WLFF,WeLoveFunFit,E-commerce,20-30,US,New Subscribers  - Individuals,All,nan,Gold,Web,All,10
130,130,O0131,NIKE 15,Redemption,Discounts,15% off on Purchase of $100 from NIKE . Expires 31/12/2020,Web,100.0,,Discounts,,FFP,Frequent Flyer Program,Gold,,nan,P046,NIKE,,,nan,,,,,nan,2020-07-01,2020-08-31,,Non Air,WLFF,WeLoveFunFit,E-commerce,20-30,US,New Subscribers  - Individuals,All,nan,Gold,Web,All,10
131,131,O0132,Target 10,Accruals ,Discounts,10% Discount on your next Target Store Visit,Web,100.0,,Discounts,,FFP,Frequent Flyer Program,Bronze,,nan,P060,Target Discounts,,,nan,,,,,nan,2020-07-01,2020-08-31,,,TC,Target Corp,Retail,All,US,,,nan,Bronze,Web,All,10
132,132,O0133,Target 15,Accruals ,Discounts,15% Discount on your next Target Store Visit,Web,150.0,,Discounts,,FFP,Frequent Flyer Program,Bronze,,nan,P060,Target Discounts,,,nan,,,,,nan,2020-07-01,2020-08-31,,,TC,Target Corp,Retail,All,US,,,nan,Bronze,Web,All,15
133,133,O0134,Target 25,Accruals ,Discounts,25% Discount on spending 100 USD,Web,250.0,,Discounts,,FFP,Frequent Flyer Program,Gold,,nan,P060,Target Discounts,,,nan,,,,,nan,2020-07-01,2020-08-31,,Non Air,TC,Target Corp,Retail,All,US,Individuals,All,nan,Gold,Web,All,25
134,134,O0135,Walmart 10,Accruals ,Discounts,10% Discount on your next Walmart Store Visit,Web,100.0,,Discounts,,FFP,Frequent Flyer Program,Bronze,,nan,P067,Walmart discounts,,,nan,,,,,nan,2020-07-01,2020-12-31,,,TC,Walmart Corp,Retail,All,AUS,All,All,nan,Bronze,Web,All,10
135,135,O0136,Walmart 15,Accruals ,Discounts,15% Discount on your next Walmart Store Visit,Web,100.0,,Discounts,,FFP,Frequent Flyer Program,Bronze,,nan,P067,Walmart discounts,,,nan,,,,,nan,2020-07-01,2020-12-31,,,TC,Walmart Corp,Retail,All,AUS,All,All,nan,Bronze,Web,All,15
136,136,O0137,Walmart 25,Accruals ,Discounts,25% Discount on spending 100 USD,Web,100.0,,Discounts,,FFP,Frequent Flyer Program,Gold,,nan,P067,Walmart discounts,,,nan,,,,,nan,2020-07-01,2020-12-31,,Non Air,TC,Walmart Corp,Retail,All,US,Individuals,All,nan,Gold,Web,All,25
137,137,O0138,Redeem your Starbucks Reward,Redemption,Redeem,Gain/Acrue 300 points and redeem your Starbucks Reward,Web,300.0,,Cash,,FFP,Frequent Flyer Program,Gold,,nan,P058,Starbucks offers,Winter,,nan,,,,,nan,2020-07-01,2020-12-31,,,SB,Starbucks,Eat,All,US,Individuals,All,nan,Gold,Web,All,0
138,138,O0139,Redeem your Starbucks Reward,Redemption,Redeem,Gain/Acrue 300 points and redeem your Starbucks Reward,"Mobile App, SMS",300.0,,Cash,,FFP,Frequent Flyer Program,Gold,,nan,P058,Starbucks offers,,,nan,,,,Anniversary Discounts,nan,2020-01-02,2020-03-31,,Non Air,SB,Starbucks,Eat,All,US,Individuals,All,nan,Gold,"Mobile App, SMS",All,0
139,139,O0140,Redeem your Starbucks Reward,Redemption,Redeem,Gain/Acrue 300 points and redeem your Starbucks Reward,"Mobile App, SMS",300.0,,Cash,,FFP,Frequent Flyer Program,Gold,,nan,P058,Starbucks offers,,,nan,,,Birthday Offers,,nan,2020-09-01,2020-12-31,,Non Air,SB,Starbucks,Eat,All,US,Individuals,All,nan,Gold,"Mobile App, SMS",All,0
140,140,O0141,Earn 2x with Chase Sapphire Preferred,,Points,Earn 2x Points on All Travel and Dining Purchases [$300],Social Media,100.0,,Points,,FFP,Frequent Flyer Program,Bronze,,nan,P018,Chase Credit Cards,Winter 20,Jan,nan,,Weekend Offers,,,nan,2020-01-02,2020-05-31,,Non Air,AB2,Airbnb,Booking ,All,US,Individuals,All,nan,Bronze,Social Media,All,0
